2020年代は日本株が復権　5Gがけん引（藤田勉）,"
米国株が史上最高値を更新するなど世界の株式相場の上昇に弾みが付くなか、日本株の出遅れ感が目立っている。年初来高値こそ更新しているが、過去1年間の投資収益率（配当込み）を2019年10月末時点でみると、米国（S＆P500種株価指数）が14.3％、欧州（STOXX欧州600株価指数）が12％であるのに比べ、日本（東証株価指数）は3.9％と大きく下回る。過去10年では日本株は2.3倍と欧州の1.8倍を上回るものの、米国株の3.6倍には劣後している。
しかし20年から日本で本格的に立ち上がる次世代通信規格「5G」は、日本株の劣位を一変させる可能性を持つ。19年10月21日付当コラム「5Gが起こす大変革　日本株の主役は通信株」では主に通信企業への影響を取り上げたが、実は製造業やIT（情報技術）企業を中心に波及力は大きい。今回はこの点について筆者の見解を説明しよう。",NIKKEI STYLE
19日の朝刊（都内最終版）☆2,"
【フジサンケイ　ビジネスアイ】
◆ヤフーとLINE　統合合意　来年10月まで完了　CEOは川辺・出沢両氏　GAFA追走　海外攻略が鍵　ソフトバンクG　買収戦略推進(1)
◆三菱電機　デジタル化で存在感　運行高度化など、IoT技術力活用し解決(2)
◆新たな防衛装備技術が台頭　国内初の見本市開幕　日本企業は最多(4)
【鉄鋼新聞】
◆12月鋼材販価　全面据え置き　東京製鉄　国内外市況　大底圏脱す　「値戻しの時機探る」(1)
◆エッサール買収　年内にも完了へ　A・ミッタルと日本製鉄　債権者問題で印最高裁判決　日鉄が4割出資(1)
◆今年2000万トン増、2．4億トンに　中国の鉄スクラップ発生量　中国廃鋼鉄応用協会が見通し　転炉配合率16％台に上昇(1)
【日刊自動車】
◆「効率」「柔軟性」随所に工夫　マツダ　スカイアクティブXの生産　高精度加工技術も確立(1)
◆次世代領域に7．2兆円　VW、20～24年に投資(1)
◆ホンダが28年ぶりワンツー　F1ブラジルGP(1)
（了）",時事通信
TモバイルCEO、来年退任　ウィー経営「議論せず」,"
　【ニューヨーク共同】米携帯電話3位のTモバイルUSは18日、ジョン・レジャー最高経営責任者（CEO）が来年4月末で退任すると発表した。マイク・シーベルト社長兼最高執行責任者（COO）が社長兼CEOに5月1日付で就く。

　レジャー氏を巡り、ソフトバンクグループが経営再建を支援する共有オフィス「ウィーワーク」の運営会社、米ウィーカンパニーによるCEO招請が報じられていたが、レジャー氏は18日の電話会見で「全く議論していない」と述べた。",共同通信
ヤフーとＬＩＮＥ　ＧＡＦＡ追走、海外攻略が鍵　ソフトバンクＧ、買収戦略推進,"
　ヤフーとＬＩＮＥの経営統合で、国内会員１億人規模のＩＴ企業が誕生する。ソフトバンクグループ（ＳＢＧ）として、国内で勢力を強める米国のグーグルやアマゾン・コムといった「ＧＡＦＡ」に対抗しつつ、アジアの成長をてこに海外市場にくさびを打ち込む攻防一体の構えだ。ただ、巨大ＩＴとの戦力差はなお大きく、ＳＢＧが海外市場で「ＧＡＦＡ“Ｓ”」として名を連ねるには海外市場の攻略が鍵になる。

　今回の統合で国内では圧倒的に優位に立つ。ヤフーは今月、衣料品ネット通販大手のＺＯＺＯ（ゾゾ）の買収を完了。国内で圧倒的シェアを持つＬＩＮＥの対話アプリを活用すれば、電子商取引（ＥＣ）の強化も加速する。両社が展開するスマホ決済事業も、システム運用などを共通化すれば、赤字続きの収支改善につながる。

　しかし、人口１億２０００万人あまりの日本市場では会員数の頭打ちは目に見えている。海外への足がかりをつくることができるかが、ＳＢＧの将来を大きく左右する。

　ヤフーは米国企業との契約で海外事業を制限されている。一方、ＬＩＮＥはタイでの人気が高い。タイやインドネシアで銀行事業を開始する計画もあり、ヤフーにとっては、海外進出の糸口を手に入れることになる。

　ただ、扱うデータ量だけをみても、グーグルは１日に数億回の検索が行われており、フェイスブックも月間利用者数が２３億８０００万人と桁違いだ。ＬＩＮＥの出沢剛社長がこの日の会見で「資金やデータは強い企業に集まる」と話したように、ＧＡＦＡの背中はなお遠い。

　しかも成長市場のアジアは、群雄割拠の様相を呈している。アマゾンはインド事業の拡大が近年の成長を支える。アップルも主力のスマホ「ｉＰｈｏｎｅ」で廉価モデルを拡充している。テンセントをはじめとした中国ＩＴも食指を動かす。

　ＩＴ業界は、特定分野で競争に勝ち残った企業が他の企業を駆逐する“勝者総取り”の世界だ。圧倒的な存在感を放つ「ＧＡＦＡ」に海外市場で対抗するには、ＳＢＧの孫正義会長兼社長が約２０年前に見い出し、今や中国を代表する企業に成長したアリババグループのように、有望企業への買収を進める戦略を今後も推し進める必要がある。

　ＳＢＧは米ウィーカンパニーなど出資先の企業価値が下落し、巨額損失を計上したばかりだが、世界と勝負するには危険と隣り合わせの投資戦略を今後も迫られることになりそうだ。（高木克聡）",SankeiBiz
ヤフー・ＬＩＮＥ統合合意　ソフトバンク、連結利益の成長期待,"
　□ＳＭＢＣ日興証券　菊池悟シニアアナリスト

　ソフトバンクはグループ会社をうまく活用することで自分たちのビジネスの成長性を上げてきた。ソフトバンクにとって、ＺホールディングスとＬＩＮＥの統合は主力事業の相乗効果や効率化によって連結利益の成長が期待できる。また、ＬＩＮＥのコミュニケーションツールは通信事業との親和性が高いことから、ソフトバンク単体の事業への相乗効果も期待できる。このため、ソフトバンクが２社統合に対して支出する１７００億円という金額は決して大きくない。ソフトバンクグループの孫正義社長がずっと目指してきた通信とインターネットの融合が、これを機にいよいよ進むのではないか（談）",SankeiBiz
ヤフーとＬＩＮＥ、統合合意　来年１０月まで完了　ＣＥＯは川辺・出沢両氏,"
　検索サービス「ヤフー」を展開するＺホールディングス（ＨＤ）と無料通信アプリを提供するＬＩＮＥは１８日、経営統合で基本合意したと発表した。１２月をめどに最終契約を結び、来年１０月の統合完了を目指す。統合によって利用者が１億人規模にのぼる国内最大のプラットフォーマーが誕生する。

　ＺＨＤの株式を４割超握るソフトバンクと、ＬＩＮＥの株式の７割超を握る韓国ネイバーが５０％ずつ出資する共同出資会社を設置。この共同出資会社がＺＨＤの親会社になり、ＺＨＤの傘下に１００％子会社としてヤフーとＬＩＮＥをぶらさげる。統合後のＺＨＤの社長兼共同最高経営責任者（ＣＥＯ）は川辺氏となり、ＬＩＮＥの出沢剛社長も共同ＣＥＯに就く。

　検索やネット通販、ニュースといった約６７００万人が利用する豊富なヤフーのコンテンツに、約８２００万人のＬＩＮＥの会員基盤から新たな利用者を通信アプリで誘導する。この日、都内で会見した川辺氏は「考え方は対等の経営統合。最強のワンチームを目指したい」と強調した。",SankeiBiz
ZOZOが下げ止まらず3日連続急落！ 日経平均株価は続伸,"
2019年11月18日（月）の主要指標（カッコ内は前日終値比）

　・日経平均株価　23,416円（+113円、+0.5％）　続伸
　・TOPIX　1,700.7（+4.0、+0.2％）　続伸
　・東証マザーズ株価指数　868.9（+15.3、+1.8％）　大幅続伸
東証1部上場銘柄の概況

　・値上がり銘柄数:1,090、値下がり銘柄数:973、変わらず:90
　・値上がり業種数:13、値下がり業種数:20
　・年初来高値更新銘柄数:93、年初来安値更新銘柄数:5
東証1部の出来高は12億2,347万株、売買代金は1兆9,051億円（概算）となり、いずれも先週末より減少しました。先週末の米国株の大幅上昇を受けて、一部の投資家ではリスクオンモードが高まりましたが、全体的には様子見スタンスが支配的でした。週初ということもあり、売買代金は10月28日以来の2兆円割れとなる薄商いで終わっています。

そのような中、日経平均株価は上値が重い展開ながら、堅調に推移しました。前場の序盤は一時▲32円安となりましたが、前場の半ば過ぎから急伸し始め、一時+117円高まで上昇する場面が見られました。後場は上げ幅を縮小しましたが、大引けにかけて再び切り返して3桁の上昇で引けています。終値も23,400円台に乗せました。

なお、TOPIXも同じような値動きで続伸となり、終値は1,700ポイントを回復しました。ただ、上昇率は日経平均株価を下回っています。",LIMO
ソフトバンクの女性「出世頭」、心ない言葉から救った相手　　「社外メンター」が広げる可能性,"
　ソフトバンクの課長久保田桃子さん（３３）は課長職になって早くも３年目だ。所属は「営業第三本部、第１営業統括部、東関東営業部　営業１課」。首都圏のソフトバンクショップ運営のサポートや、代理店の新規開拓を担う。この部署の課長１９人のうち、女性は久保田さんただ一人。若い社員が多い社内で「出世頭」ともいえる存在だ。そんな彼女も、かつては男性の上司や同僚らから心無い言葉をかけられ、プレッシャーと不安から自分を見失いかけた時期があったという。それを乗り越え、エースとして活躍する彼女を支えたのは何だったのか、探った。

　▽心無い言葉

　「課長になってみないか？」

　入社７年目のある日、考課の面談で上司から突然、こう打診された。社内では、営業職の「女性はすぐやめる」とささやかれていた。戸惑いもしたが、認められた気がしてうれしかった。

　不安もあった。販売代理店の営業を担当する部で課長になった女性はいない。いずれは結婚し、できれば子どもを持ちたい。家庭と両立できるのか。男性上司が深夜、早朝も気にせず働く姿を見ていて「無理そう」としか思えなかった。",47NEWS
ヤフーを傘下に持つZHDとLINEが経営統合することで基本合意、12月めどに最終契約締結,"
ヤフーを傘下に持つ持ち株会社のZホールディングス(ZHD)と、LINEは、両社が経営統合することで基本合意した、と11月18日発表した。12月をめどに最終契約を結ぶ。2020年10月の統合完了を予定する。両社の経営資源を集約し、事業領域の強化や新規分野への投資を進め、インターネット市場で優勢な米国、中国企業に対抗する。










ZHD・ヤフーの月間平均利用者は6743万人、LINEの月間アクティブユーザー数は8200万人。統合でメディア、SNS、メッセンジャー、決済といったユーザーとの接点になる基盤サービスを相互補完し、日本で優位なポジションを確立する。マーケティング、集客、Fintech(金融技術)事業や新規事業・システム開発で相乗効果を狙う。

ZHDとLINEは、日本・アジアから世界をリードする企業を目指す、としている。ZHDとLINEの直近の連結売上高は計約1兆1600億円で、楽天の約1兆1000億円を抜く。ZHD親会社のソフトバンクと、LINE親会社の韓国NAVERが折半出資して新会社を設立してZHDの筆頭株主になり、その下に完全子会社のヤフーとLINEを置く枠組みとなる。",Web担当者Forum
LINEペイの大誤算…ヤフー統合を運命づけた「クレカ紐付け」問題,"
　11月18日、Yahoo Japanなどを運営するヤフーの親会社・ZホールディングスとLINEが、経営統合することで基本合意したことが正式に発表されました。【全実名】AI革命で10年後消える会社、生き残る会社　同月13日に今回の経営統合話が報じられて以降、様々な記事が出ていますが、筆者は我々の日常生活にも密接に関係するであろうキャッシュレス決済(QRコード決済)の観点から、この騒動を考えてみたいと思います。  

　10月のキャッシュレス決済・ポイント還元事業開始から2ヵ月近く経って、QRコード決済の勝ち組も次第にはっきりしてきました。18日にユーザー数2000万人突破を発表したソフトバンク・ヤフーの「PayPay」を筆頭に、楽天の「楽天ペイ」、ドコモの「d払い」、それにLINEの「LINE Pay」の4強がそれに当たると思います。

　そして、このうちのいくつかが自前のクレジットカードを持ち、それとQRコード決済を結びつけることで新たな魅力づくりに成功しています。この点はもっと強調されてよいと思います。

　例えば PayPayは同じグループの「Yahoo！　 JAPANカード」と紐付けてあり、PayPayで買い物すればYahoo！　 JAPANカードのポイントが別途1.5％が付くようにしています。楽天ペイは「楽天カード」と紐付けて買い物すると1％貯まり、d払いも同じグループの「dカード」を紐付ければ1.5％貯まるというサービスを展開しています。

　  利用者からすると自分のクレジットカードをQRコード決済に直接紐付けたいのですが、一般カードではポイントの貯まりが少ない(またはゼロ)ので、どうしても指定のカードに目が行きます。QRコード事業者からすればそこが狙いで、この機会にグループのカードを一気に普及させようとしているのです。

　いったん自前のカードを持たせてしまえば、QRコードの決済はもちろんオートチャージや公共料金の支払いも可能になります。そうすれば、いつの間にかメインカードに変わっている確率も高くなるというわけです。

　こうしたやり方は2001年にJR東日本の「Suica」が登場し、そのSuicaにチャージする役目を同じグループの「ビューカード」が担った時から始まりました。

　ビューカードは鉄道系クレジットカードの特権的な立場を生かし、Suicaのチャージの際に他社カードの3倍の1.5％のポイントをつけて圧倒。さらに今ではオートチャージのできる唯一のカードとして存在感を発揮しており、JR東日本グループに莫大な利益をもたらしています。",現代ビジネス
躍進するPayPay、社長が「決済」の未来図を語った,"
　検索サービス「ヤフー」を展開するZホールディングスと、対話アプリのLINEが経営統合に向けた交渉を進めている。両社の背中を押した要因の一つが、スマートフォンを使った決済市場での競争激化。顧客囲い込みに向けた費用がかさみ、各社とも体力勝負の様相を呈している。実際のところ、スマホ決済を含めたキャッシュレス決済の利用状況はどうなっているのか。「日経ビジネス」と「日経クロストレンド」は共同で、キャッシュレス決済の利用状況などを探る1万人調査を実施した。調査結果は日経ビジネス11月18日号特集「誰が得する〇〇ペイ　キャッシュレスの闇」（関連記事参照）でご覧になれます。【写真】PayPay中山社長「競争より、皆さんでキャッシュレスを一緒に盛り上げることが大事だと思います」　躍進ぶりが目立ったのが、ソフトバンクとヤフーが立ち上げた「PayPay（ペイペイ）」だ。1年前と比べると認知率は57.3％から98.9％に、利用率は2.8％から37.2％に上昇した。同じQRコードを用いた決済サービスの「LINE Pay」や「楽天ペイ」を一気に抜き去り、存在感を高めている。PayPayをけん引する中山一郎社長執行役員CEO（最高経営責任者）にデジタル化で変革期を迎えている決済の未来図を聞いた。（編集部注：インタビューは11月7日に行いました）

――2018年10月にPayPayがスタートして1年が過ぎました。「日経ビジネス」と「日経クロストレンド」が実施した調査では、PayPayの認知率が98.9％、利用率は37.2％となり、同じQRコードを用いた決済サービスの「LINE Pay」や「楽天ペイ」を一気に抜き去りました。手応えはいかがでしょうか。

中山一郎・PayPay社長（以下、中山氏）：想定を上回るスピードで広がったのは、ひとえにユーザーとストア（加盟店）の皆さんのおかげです。また、国が熱心に推進しているのも大きい。キャッシュレスが進んでいる国は、国が何かしらの政策を打っています。今回のポイント還元制度に関しても、開始1カ月前の9月ごろから普及が加速したと感じます。ただ、認知率が98.9％。100％まで1.1％足りない。これを埋めるために何ができるかという思いが強いですね。

――スマートフォン決済アプリとしては後発でありながら、利用率首位となった原動力はどこにあるのでしょうか。

中山氏：キャッシュレス全体が盛り上がる中で、PayPayはPayPayにしかできないことをしてきました。

　1つはマーケティング。後発だったので、知ってもらうために2018年12月に（100億円かけた）キャンペーンを行った。その後、2～5月に100億円キャンペーンを再び行い、ユーザーに利用を促せた。それに伴って、ストアの加盟も増え、それが今も続いていると思っています。

　SNSやツイッターで「これは手放せないよね」「スマホ1台で外に出かけられて便利だよね」という意見を見ると、本当にありがたい。今後、使い続けてもらうには、利便性の追求は大切だなと思います。

　第2に営業力。全国20カ所に営業拠点を設け、数千人の従業員が加盟店を開拓する活動も、PayPayにしかできなかった。そして今でもPayPayしかやっていない営業活動です。

　3番目は開発力。18年10月にサービスを開始してから、アプリの使いやすさの改善を進め、既に70回ほどアップデートしています。週1回を超えるペースです。来年の今ごろには、今の使い心地、アプリの画面を忘れてしまうくらい進歩したいと思っています。

　アプリの表示画面だけでなく、目に見えない裏側も改善してきました。例えば、PayPayに入金するための銀行口座の登録なら、以前は銀行のウェブ画面にたどり着くまで20超のステップがあり、15～20分かかっていました。今はそれを6ステップ程度にし、1～2分に短縮しました。

　こうしたスピード感で提供される決済サービスは、日本で今までなかったのではないでしょうか。社員みんなでPayPayを使って意見を出し合い、また、ソーシャルの（SNSなどに書き込まれた）意見も参考にしながら、アプリの文言や、操作順序を変えてきました。（技術面や営業ノウハウで提携しているインドのスマートフォン決済大手の）「Paytm（ペイティーエム）」の協力を得ながら、アプリをPayPay社内で改善できているのが、スピード感につながっています。",日経ビジネス
ヤフー・LINEの経営統合で迫られる、「稼げるアプリ」の取捨選択,"
　ヤフーとLINEが18日に記者会見し、経営統合を正式発表した。会見では「対等の精神」という言葉が強調されたものの、LINEは実質的にソフトバンクグループ入りすることになる。8000万人を超える顧客基盤を持ちながら収益化に苦しむLINEと、自慢の営業力でサービスの収益化が得意なソフトバンク。統合の過程で、両社のサービスの取捨選択でひと悶着がありそうだ。（ダイヤモンド編集部　大矢博之）

●　「大きなことを一緒にやろう」 川邊社長が新年会でラブコール

　「大きなことを一緒にやろう」――。

　Zホールディングス（HD、旧ヤフー）の川邊健太郎社長兼CEO（最高経営責任者）は、副社長だった数年前から、LINEの出澤剛社長兼CEOにこうラブコールを送っていた。話を持ち掛けるのは、年に1度の個人的な新年会の席上だ。いつもは「相手にされず、笑ってすまされた」（川邊社長）。だが、季節を少し遅らせて開催した今春の新年会では、反応が違った。「そうでしょうね。話してもいいかもしれませんね」。出澤社長がこう応じたことで、日本のIT業界を揺るがす統合話が動き出した。

　ソフトバンクグループでZHD傘下のヤフーと、メッセージアプリ運営大手LINEが経営統合することで18日に基本合意した。ZHDの親会社のソフトバンクと、LINEの親会社である韓国ネイバーが50％ずつ出資して合弁会社を設立。その傘下にZHDを置き、ヤフーとLINEを子会社にする。12月に統合に関する最終契約を締結し、2020年10月の統合完了を目指す。",ダイヤモンド・オンライン
ヤフーとLINE、どちらが高い？国内IT企業の平均年収ランキング2019【トップ50社】,"
　ヤフーとLINEが経営統合を正式に発表した。IT業界が激変期を迎える中、「国内IT企業の平均年収ランキング」を作成した。ヤフー、LINEは40位以内。楽天は年収が720万円で、ディー・エヌ・エーは767万円だった。

●　対GAFAで再編含みの激変期突入！ ZOZO買収のヤフーがLINEと統合

　ヤフーを傘下に持つZホールディングス（HD）とLINEは11月18日、経営統合する計画を正式に発表した。米国の巨大IT（情報技術）企業であるGAFA（グーグル、アップル、フェイスブック、アマゾン・ドット・コム）に対抗して、国内での生き残りを図る狙いがある。

　ZHDとLINEは2020年10月までに経営統合する。ZHD（当時はヤフー。ヤフーは10月1日に持ち株会社制に移行し、社名をZHDに変えた）は9月に、衣料品インターネット通販「ZOZOTOWN」を運営するZOZO買収を発表したばかりだった。

　ZHDとLINEの経営統合が表面化した直後の11月14日、競合する楽天の株価が一時、大幅安となった。ZHDの19年3月期の連結売上高は9547億円で、LINEは2071億円（18年12月期）。2社を合算すると1兆1618億円で、楽天（18年12月期で1兆1014億円）を超える規模になる。

　これから国内のIT業界は、さらなる再編も視野に入れた激変期を迎えそうだ。

　そこで今回は、上場している情報・通信業種（ただし放送局、映画関連企業は除く）を対象に「国内IT企業の平均年収ランキング」を作成した。決算期は18年4月期～19年3月期。

　なお、業種は異なるが、一般的に有力IT企業とされる楽天、ディー・エヌ・エー、サイバーエージェント、クックパッド、カカクコム、ミクシィ、ぐるなび（以上はサービス業）と、ZOZO（小売業）も対象に加えている。また、単体の従業員数が100人未満の企業は除外した。

　それでは早速、確認していこう。

　1位は、ソフトバンクグループで1253万円。2位は、野村総合研究所で1221万円だった。

　3位は、ワープロソフト「一太郎」で知られるジャストシステムで970万円。同社はタブレット端末を使った小中学生向けの通信教育「スマイルゼミ」が好調で、会員数を伸ばしている。",ダイヤモンド・オンライン
通信モジュールの動向で悲喜こもごもとなった「契約純増数」,"
　携帯キャリア各社の2019年7～9月期決算が5日までに出揃った。今回から、3社の主要数値を比較していく。まずは契約純増数に焦点を当てる。【この記事に関する別の画像を見る】■通信モジュールに救われたNTTドコモ、足を引っぱられたソフトバンク

　2019年9月末時点における各社の累計契約数は、NTTドコモが7920.3万（前四半期比30.7万増）、KDDIが5727.9万（同91.1万増）、ソフトバンクが4479.0万（同1.8万増）となった。ソフトバンクの純増数は、純減だった2017年4～6月期以来、約2年ぶりに10万の大台を下回っている。

　次に、純増数の中身に踏み込むため、通信モジュール契約などを除外しスマートフォンを中心とした契約数に絞り込んだ状況を見てみたい。

　すると、さきほどのグラフとは大きく様相が異なる。

　ソフトバンクは、スマートフォンや従来型携帯電話、タブレットなどの「主要回線」が54.9万増を記録した。四半期ベースでみると、この数字は2014年度以降で最大となっており、好調さが浮き彫りとなった。総契約ベースでの純増数が1.8万増にとどまったのは、通信モジュール等が45.2万の大幅減で足を引っぱったことによる。

　一方のNTTドコモは、通信モジュールの増加分（47.7万）を差し引けば、契約数は実質的に純減だったと言える。4～6月期も1.3万増にとどまっており、ここにきてブレーキがかかっている。解約率に大きな変動がなかったことから、新規獲得の不調または（ドコモブランドの解約率には含まれない）ドコモ網MVNOの減少が影響したとみられる。同社は2020年3月末時点の契約数計画を、当初の7950万から8000万へ50万引き上げたが、これも「モジュールの貢献が大きい」（吉澤社長）とのことだ。

　ソフトバンクの数字にはY!mobileやLINEモバイルが含まれており、数値の単純比較はできないものの、両社の数字は明暗が分かれた。

　なお、グラフ内でKDDIは19年度以降を空欄としている。これは、同社が19年度から個人向け（パーソナルセグメント）の動向については「契約者数」に開示を一本化していることによる。au契約者数は9月末時点で2441.0万人、前四半期比5.3万減だった。MVNOの契約数を加えた「モバイルID数」は、同6.5万増の2709.0万となっている。",Impress Watch
LTE対応モバイルノートのススメ,"
　最近、薄型のノートPCや2in1 PCなど持ち運びが容易なPCにおいて「LTE対応」をウリにしているモデルが増えている。【この記事に関する別の画像を見る】　文字どおり「LTE対応」を謳うPCは、携帯電話事業者が提供するネットワークに接続し、移動中でもインターネット利用できるため、場所にとらわれず好きな場所で作業をしたい人にとっては魅力的な選択肢であることは間違いないだろう。

　「テレワーク」や「ノマド」など、オフィスにとらわれず好きな場所で仕事をすることを認めることも流行で、その際のPCの利便性を高めてくれるという点でも注目の機能といえる。

　筆者自身もフリーランスであり、特定の場所にとらわれることなく仕事をしている。発表会など外に取材に出ると始まるまでの時間や、予定と予定の間の時間は作業に充てたい時間であり、この際に活躍するのはノートPCだ。

　今まででもモバイルWi-Fiルーターやスマートフォンのテザリングを利用してネットに繋ぐことはできたが、同じような使い方をする記者の集まる場では混信してしまい接続が不安定になることにストレスを感じていた。

　また、日中の都市部の「Wi-Fiが使えるカフェ」は同じ目的で利用している人も多く座席が確保できないことも多い。

　そこで白羽の矢を立て、約2年半前にLTE対応のノートPCを購入。ノートPC単体でインターネットに繋がる利便性はかなり高く、購入して以降はWi-Fiに繋がりづらいストレスや、Wi-Fiを使える場所を探すストレスから解放された。

　モバイルWi-Fiルーターを持ち歩かない=忘れても平気なことは心理的にも楽と言えるし、スマートフォン側の料金プランもテザリング利用を前提とした大容量データプランや利用するためのオプションサービス代が浮いた。買い増ししたPCも購入時にLTE対応モデルに絞ってから選んだほどだ。

　これだけ便利だと周りでモバイルノートPCなどを買うさいにはすすめることも多く、またPCの買い換えを検討している人からLTE対応PC「設定方法」や「毎月の料金」についての質問を受けることも多い。

　そこで、今回はLTE対応PCを検討するにあたり、こうした質問への回答をまとめてご紹介していく。

■選び方は「SIMフリースマホと同じ」

　「LTE対応のPC」と考えると新しいものに感じるが「SIMフリーのデバイス」と考えると馴染み深いという人も多いのではないだろうか。

　LTE対応を謳うPCの多くは国内の携帯電話事業者であるNTTドコモ、au、SoftBankの3社のSIMカード・ネットワークに対応している。

　例外的に特定の事業者で使えないものがあるかもしれないが、LTE対応を謳うPCであれば製品ページに「利用できる事業者」や「対応バンド」が掲載されているため、SIMフリースマートフォンを選ぶさいと同様に「使いたい携帯電話事業者」が、欲しい機種で利用できるかだけ確認すれば問題ない。

　また、ハードウェアとして気にするべき点は「SIMカードのサイズ」にも注意したい。

　筆者は現在、「ThinkPad X1 Carbon(2017)」と「Surface Go LTE Advenced」の2台のLTE対応PCを使用している。ThinkPad X1 Carbonは「microSIMカード」に、Surface Go LTE Advencedは「nanoSIMカード」と機種によってSIMカードのサイズが違う。このあたりもスマートフォンを選ぶさい、対応するSIMカードサイズを気にしないのと同じといえる。

　LTE対応PCを選ぶときは、上記にだけ気をつけ、後はCPUやメモリといったPCとしての性能を気にして好みの1台を選べばいい。

■設定も「SIMフリースマホと同じ」

　続いてLTE搭載PCの設定について。

　これもSIMフリースマートフォンに、用意したSIMカードを設定する場合と行なうことは同じだ。

手順としては

　Windowsの設定→ネットワークとインターネット

の順に画面を進めていく。

　LTE搭載PCであれば左の項目に「携帯電話」が表示されるので、ここを選んで右画面の「詳細オプション」を選ぶと、より細かな設定やプロパティを確認する画面へ進むことができる。

　SIMフリースマートフォンであれば「接続情報」として入力を行なう「APN」の追加も、この進んだ先の画面に用意されている。

　「APNを追加する」を押した後は、用意したSIMカードのマニュアルや契約の控えのメール、事業者のWebサイトに入力すべきAPN情報がまとまっているため、それを入力すればLTE搭載PCで、携帯電話ネットワークに接続されインターネットの利用が可能になる。

　先にも書いたとおり「LTE搭載PC」と聞くと、まったく新しいものに触れるように感じるが、選び方や設定方法は画面こそ違えど「どの会社で利用できるか」、「どのサイズのSIMカードが対応するか」と「APN情報を入力する」だけであり、SIMフリースマートフォンを選ぶときに気にすること、設定を行なうこととそう変わらないことは理解頂けたはずだ。

■気になる毎月の料金

　LTE対応PCの選び方や設定方法はわかった。

　次に気になるのは毎月の料金。これもSIMフリーであるメリットを活かし、通信速度や月間に利用できるデータ量から、用途と予算に合わせ好きなものを選んで利用できる。

　LTE搭載PCは通話はできないため、格安SIMと呼ばれる安価な通信サービスの中でも、さらに料金の安いプランや拘束期間の緩いプランから選んでいくのがいいだろう。

　筆者もいくつかの大手携帯電話会社、格安SIMを契約しているなかで、LTE搭載PCに挿しているSIMカードがUQ mobileの「データ高速プラン」だ。

　月額980円と安価で月間3GBまでのデータ通信が可能なので、急ぎで重たい写真を送りたいといった場合でも、通信速度に不満なく利用することができる。

　スマートフォンのようにLTE回線で動画を移動中に視聴するといった用途がなければ、多くの人は月間の高速通信は3GBもあれば足りるはずだ。

　もし3GBを超えるデータ容量を選びたい場合、楽天モバイルやIIJmioの格安SIMもLTE搭載PCに組み合わせる通信サービスとして人気が高い。5～6GBと、3GBプランのほぼ倍となる容量が使えて料金は1,500円程度と、料金までは倍にならないのもお買得度を感じるSIMカードとして検討するといいだろう。

　LTE搭載PCを買った場合、とにかく外で使い倒したいと考えているユーザーであれば月間のデータ容量に制限がないサービスや、従来の格安SIMにはなかった大容量を謳うサービスを選んでみてもいいだろう。

　上記のChat WiFi-SIMは月間に100GBまでは速度制限なしで利用できる格安SIMで、料金も2,980円と大容量の格安SIMとしては破格といえる。

■臨機応変に選べるデータSIMの契約

　ここまでに紹介したLTE搭載PCで使えるSIMカードはどれも「月額」での契約(ポストペイド)となる。

　日常的に使い続けるのであればこれでも十分だが、一時的に使いたいという場合や、通信コストまで含め稟議を通さないとLTE対応PCを購入できないケースもあるだろう。

　たとえばVAIOが提供する「VAIOオリジナル SIM」は有効期限が設けられた買い切り式のSIMカードだ。

　1年間から3年間の期限が設けられており、購入時に期間分の料金を先払いするプリペイド式のサービスとなっている。

　最初に支払う金額として考えると高く見えるが、1カ月あたりで見ればどれも毎月1,000円ほどとここまでに紹介した月額契約のSIMカードと、そこまでコストに差はない。

　先にも書いたとおり、LTE搭載PCと通信料を足したコストで稟議を通さないといけないような場合は、こうしたプリペイドサービスを選ぶこともできる。

　また、Surface ProのLTEモデルなど、一部のLTE搭載PCは「eSIM」に対応している。

　たとえば物理的なSIMカードには月額契約のSIMカードを取り付けつつ、海外渡航時など一時的に現地の通信サービスを利用したい場合に、プリペイド契約として数日間の有効期限のある契約を利用できるようにするといったことが可能だ。

　また、eSIMに対応したLTE搭載PCは、Windowsの設定やMicrosoft Storeを介して簡単にデータプランの契約や容量の追加を行なうこともできる。

　急な外出で一時的に単体で通信を行ないたいといったニーズに応えることもできるため、今後eSIMに対応するモバイルPCや2in1 PCが増えてくれば、利便性はより大きく向上するのではないだろうか。

　冒頭にも書いたとおり、筆者自身LTE搭載PCを手にしてからその便利さに病みつきになり手放せないものになっている。

　Windows 7のサポート期間が切れるなど、これからPCの買い換えを検討するさいに、持ち出すことがある1台を選ぶのであれば、LTE搭載PCを検討してみてはいかがだろうか。",Impress Watch
